20,20,35
23,23,35
21,22,37
21,21,36
24,22,37
23,23,36
20,21,35
22,22,35
22,24,37
20,21,34
20,21,34
23,25,37
20,22,36
22,22,36
21,23,35
24,26,39
21,20,34
21,21,34
24,24,36
21,22,36
23,22,36
21,23,36
21,21,35
21,20,34
23,24,37
23,24,38
20,21,35
21,22,35
22,24,35
20,22,36
21,22,35
24,22,37
23,24,36
21,22,37
21,22,34
22,24,36
23,25,39
20,21,35
24,23,37
23,24,36
20,23,37
21,21,36
21,22,36
22,24,37
22,25,37
23,23,36
24,24,36
21,23,37
21,21,35
22,22,35
23,24,36
21,23,36
23,23,37
22,21,35
23,24,37
22,22,36
22,22,35
23,22,35
23,24,36
21,23,36
22,21,36
24,23,36
23,25,35
23,24,37
22,24,38
20,21,34
25,22,37
22,20,35
23,24,36
21,24,36
21,22,36
22,22,35
23,23,36
21,23,37
21,21,36
24,23,36
23,24,37
21,23,36
21,22,35
19,21,32
22,21,35
20,23,34
21,22,35
22,24,37
22,22,35
23,24,36
23,24,36
20,21,36
20,21,35
22,25,36
23,24,36
21,23,37
20,23,36
22,22,36
22,24,34
21,23,35
21,23,36
22,22,35
21,25,33
23,25,36
22,24,38
21,22,37
21,22,35
23,23,36
24,24,39
20,21,34
21,21,34
22,22,35
24,24,36
21,23,36
21,23,36
20,21,35
23,24,36
20,20,36
25,23,40
21,21,34
23,24,36
21,22,36
20,21,33
23,24,37
19,21,35
24,22,35
24,24,37
21,21,37
21,22,37
23,23,36
22,25,37
23,25,40
21,22,37
22,23,35
21,22,36
21,21,36
23,24,37
22,24,36
20,21,34
23,23,36
21,23,36
22,22,35
27,23,37
28,23,38
21,24,41
21,22,35
23,25,36
24,24,37
20,22,36
21,21,34
21,23,36
20,21,35
23,23,36
23,24,36
23,25,37
21,21,34
18,25,35
22,24,37
21,22,35
23,24,36
22,24,38
22,22,34
23,24,37
19,21,34
23,23,36
23,24,37
21,22,36
20,22,35
23,24,36
27,27,44
21,21,36
21,21,35
19,23,33
21,24,35
23,23,38
23,23,36
23,24,36
21,22,36
23,21,36
23,24,35
24,25,37
21,23,36
21,22,37
22,21,35
23,22,35
21,24,34
21,22,36
23,22,35
22,24,35
23,22,35
20,21,34
22,22,36
21,22,36
21,22,35
23,24,37
22,23,36
20,22,32
22,22,35
21,23,36
20,22,35
22,22,36
23,24,36
22,23,37
20,21,35
21,23,35
23,25,37
20,21,36
20,22,34
24,25,37
23,24,37
21,23,36
21,22,36
24,24,36
23,24,37
20,21,35
22,22,35
