201,46,18
202,46,16
198,43,16
200,44,17
200,44,16
199,45,17
201,45,16
198,43,16
202,46,17
200,43,15
201,46,18
201,46,16
198,43,16
202,46,17
198,43,15
200,45,17
202,46,17
199,42,16
201,46,17
199,43,15
198,43,16
202,45,17
198,43,16
198,46,17
199,45,16
199,44,17
200,45,17
201,44,16
198,43,15
202,46,18
202,45,17
199,45,17
201,46,17
201,44,15
198,43,16
201,47,18
198,44,17
201,46,18
201,44,16
199,45,17
202,46,16
200,44,16
201,46,16
202,46,17
198,43,16
202,45,19
201,46,18
202,45,15
199,41,17
198,44,15
202,47,18
201,44,16
200,45,17
201,46,17
198,43,15
199,45,17
202,46,17
199,44,15
199,45,17
200,45,16
200,44,15
201,47,18
203,46,17
200,44,15
198,44,16
202,45,18
197,45,13
198,45,17
200,45,15
200,45,15
199,43,16
201,45,18
200,44,16
199,43,16
202,47,18
201,45,16
201,44,19
199,44,17
200,45,17
201,46,17
201,43,16
199,43,16
202,43,18
201,47,16
199,45,16
198,43,16
201,46,18
200,45,16
200,48,15
200,44,15
199,44,17
199,45,17
201,44,16
199,44,16
198,45,16
200,46,16
200,43,17
199,44,17
200,46,17
202,45,17
199,43,15
201,47,18
202,46,16
199,44,17
201,46,18
200,45,15
199,44,15
201,46,19
200,44,15
198,44,16
200,45,15
198,48,21
199,43,16
201,46,17
201,45,15
198,42,15
201,47,17
201,43,15
197,46,14
201,46,17
201,44,16
200,45,17
201,46,17
199,44,14
198,44,16
202,46,16
200,43,16
200,45,18
203,47,16
200,43,15
200,45,18
200,45,16
201,44,16
201,47,17
201,43,16
200,43,17
200,46,16
200,45,16
201,44,16
203,48,20
201,44,17
199,43,16
201,42,15
200,43,16
201,46,18
201,44,16
197,44,13
203,46,17
197,44,17
201,46,18
200,44,16
199,44,17
201,45,17
200,44,16
198,44,16
201,45,16
200,43,15
199,43,16
202,47,17
199,46,15
200,44,16
199,44,16
201,45,18
200,44,16
197,43,14
201,46,17
199,43,15
195,42,12
201,47,18
202,46,17
200,43,15
199,45,18
198,45,19
199,45,16
199,45,17
201,46,17
201,44,16
200,44,17
200,47,17
200,43,14
200,45,16
202,46,17
200,44,16
199,43,16
200,45,16
198,42,14
198,43,15
199,44,15
200,45,16
200,43,15
201,46,18
201,46,16
